benchmark_tag,best_fixed_success,family,keep_collision_free,keep_deadlock,keep_goal_reached,keep_irreversible_collapse,keep_success,layout_id,line_collision_free,line_deadlock,line_goal_reached,line_irreversible_collapse,line_success,oracle_collision_free,oracle_deadlock,oracle_goal_reached,oracle_irreversible_collapse,oracle_success,oracle_switches,seed,split_collision_free,split_deadlock,split_goal_reached,split_irreversible_collapse,split_success,switch_necessity,team_size
scenario-headroom-v1-invalid-recovery-label,0.0,split_around,1.0,0.0,1.0,0.0,0.0,val_split_around_001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,20000601,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,split_around,1.0,0.0,1.0,0.0,1.0,val_split_around_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000400,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,split_around,1.0,0.0,1.0,0.0,1.0,val_split_around_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000401,1.0,1.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,split_around,1.0,0.0,1.0,0.0,1.0,val_split_around_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000600,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,0.0,split_around,1.0,0.0,1.0,0.0,0.0,val_split_around_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,20000601,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,0.0,0.0,0.0,val_keep_line_keep_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2,20000400,1.0,1.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,1.0,0.0,1.0,val_keep_line_keep_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2,20000401,1.0,1.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,0.0,0.0,0.0,val_keep_line_keep_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,20000600,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,0.0,0.0,0.0,val_keep_line_keep_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,20000601,1.0,1.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,1.0,0.0,1.0,val_keep_line_keep_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000400,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,1.0,0.0,1.0,val_keep_line_keep_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000401,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,0.0,0.0,0.0,val_keep_line_keep_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,20000600,1.0,1.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,keep_line_keep,1.0,0.0,0.0,0.0,0.0,val_keep_line_keep_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,20000601,1.0,1.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,keep_split_merge,1.0,0.0,1.0,0.0,1.0,val_keep_split_merge_001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000400,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_split_merge,1.0,0.0,1.0,0.0,1.0,val_keep_split_merge_001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000401,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_split_merge,1.0,0.0,1.0,0.0,1.0,val_keep_split_merge_001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000600,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,keep_split_merge,1.0,0.0,1.0,0.0,1.0,val_keep_split_merge_001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000601,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,keep_split_merge,1.0,0.0,1.0,0.0,1.0,val_keep_split_merge_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000400,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_split_merge,1.0,0.0,1.0,0.0,1.0,val_keep_split_merge_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000401,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,keep_split_merge,1.0,0.0,1.0,0.0,1.0,val_keep_split_merge_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,20000600,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,0.0,keep_split_merge,1.0,0.0,1.0,0.0,0.0,val_keep_split_merge_002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,20000601,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000400,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000401,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000600,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000601,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000400,1.0,0.0,1.0,0.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,20000401,1.0,0.0,1.0,0.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000600,1.0,0.0,1.0,0.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,1.0,ambiguous,1.0,0.0,1.0,0.0,1.0,val_ambiguous_002,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,20000601,1.0,0.0,1.0,0.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,1.0,0.0,0.0,0.0,0.0,val_infeasible_001,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20000400,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,1.0,1.0,0.0,1.0,0.0,val_infeasible_001,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,20000401,1.0,1.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,1.0,0.0,0.0,0.0,0.0,val_infeasible_001,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20000600,1.0,1.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,1.0,0.0,0.0,0.0,0.0,val_infeasible_001,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20000601,1.0,1.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,1.0,0.0,0.0,0.0,0.0,val_infeasible_002,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20000400,1.0,0.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,1.0,1.0,0.0,1.0,0.0,val_infeasible_002,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,20000401,1.0,1.0,0.0,1.0,0.0,0,4
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,1.0,0.0,0.0,0.0,0.0,val_infeasible_002,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20000600,1.0,0.0,0.0,1.0,0.0,0,6
scenario-headroom-v1-invalid-recovery-label,0.0,infeasible,0.0,0.0,0.0,0.0,0.0,val_infeasible_002,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20000601,1.0,1.0,0.0,1.0,0.0,0,6
